MODEL_RUN_ID,FEATURE_NAME,POSITIVE_COUNT,TOTAL_ROWS,POSITIVE_RATE_PERCENT
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,prediction_year_age_at_year_start,1250231,1250233,99.99984003
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,race_white,1019292,1250233,81.52816315
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_hypertension,719630,1250233,57.559670877
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_hyperlipidemia,717850,1250233,57.417297416
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,sex_male,571735,1250233,45.730275877
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_diabetes_mellitus,297888,1250233,23.826598722
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_diabetes,297501,1250233,23.795644492
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_cataract,294412,1250233,23.548570546
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_cataract,294371,1250233,23.545291158
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_cardiac_dysrhythmias,283808,1250233,22.700408644
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_atherosclerosis,272258,1250233,21.776580845
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_fibromyalgia_and_chronic_pain_and_fatigue,259119,1250233,20.725656738
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_obesity,231241,1250233,18.495832377
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_anemia,225767,1250233,18.05799399
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_anxiety_disorders,207331,1250233,16.583388856
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_covid19,202138,1250233,16.16802628
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_chronic_kidney_disease,197066,1250233,15.762341899
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_chronic_kidney_disease,184954,1250233,14.79356248
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_18,179243,1250233,14.336767627
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_peripheral_vascular_disease_pvd,153141,1250233,12.248996787
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_benign_prostatic_hyperplasia,146799,1250233,11.741731341
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_benign_prostatic_hyperplasia,145627,1250233,11.647988815
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_atrial_fibrillation_and_flutter,140522,1250233,11.239664926
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_osteoporosis,134368,1250233,10.747436678
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,cold_start,130342,1250233,10.425416702
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_chronic_obstructive_pulmonary_disease,128035,1250233,10.240891098
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_heart_failure,115926,1250233,9.272351634
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_tobacco_use,86987,1250233,6.957663092
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_22,78580,1250233,6.285228433
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_liver_disease_cirrhosis_and_other_liver_conditions_except_viral_hepatitis,73296,1250233,5.862587214
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_stroke_transient_ischemic_attack,67044,1250233,5.362520426
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_myocardial_infarction,53800,1250233,4.303197884
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Pennsylvania,51606,1250233,4.127710595
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_cancer_breast,51506,1250233,4.119712086
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_stroke,49137,1250233,3.930227406
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_New Jersey,37698,1250233,3.015277952
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Arizona,27109,1250233,2.168315826
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_mobility_impairments,24752,1250233,1.979790967
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_alzheimers_disease,23801,1250233,1.903725146
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_107,22852,1250233,1.827819294
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_diverticulitis_of_large_intestine,8610,1250233,0.6886716316
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_osteoarthritis,322775,1250233,25.817187676
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_hypothyroidism,239416,1250233,19.149710494
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_obesity,231277,1250233,18.49871184
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_osteoporosis_with_or_without_pathological_fracture,133088,1250233,10.645055762
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_California,120078,1250233,9.604449731
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_40,78164,1250233,6.251954636
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_glaucoma,77231,1250233,6.177328546
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_non_alzheimers_dementia,65468,1250233,5.236463923
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_cancer_prostate,48942,1250233,3.914630313
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Virginia,38514,1250233,3.080545786
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_bipolar_affective_disorder,22423,1250233,1.793505691
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_124,20667,1250233,1.653051871
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Iowa,16834,1250233,1.346469018
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_parkinsons_disease,16351,1250233,1.307836219
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Louisiana,16321,1250233,1.305436667
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_87,13109,1250233,1.048524555
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_136,10885,1250233,0.8706377131
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Idaho,7916,1250233,0.6331619786
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Michigan,34430,1250233,2.753886676
